X_center,Y_center,width,height
525,460,18,40
524,459,18,40
525,459,18,40
524,459,18,40
524,459,18,40
524,459,18,40
524,459,18,40
521,459,18,40
517,459,18,40
512,459,18,40
518,454,18,40
505,454,19,42
498,455,18,41
495,455,19,42
493,455,18,41
492,455,18,41
492,455,18,41
491,456,18,41
491,457,18,40
492,457,18,40
495,456,18,41
505,455,19,42
512,452,19,42
523,451,19,42
531,451,19,42
541,449,18,41
553,449,18,40
562,448,19,42
571,448,18,41
581,447,18,40
591,446,19,42
603,446,18,40
615,445,18,39
623,445,18,40
633,446,18,39
640,446,18,41
645,450,18,40
653,450,19,42
661,451,18,41
680,448,18,41
700,445,18,41
720,441,19,42
740,437,18,41
759,437,19,42
778,439,18,40
794,441,18,41
810,441,18,41
823,443,19,42
826,446,18,41
823,454,18,39
813,460,18,40
807,462,19,42
810,462,18,40
816,463,17,38
830,461,17,37
849,457,17,38
868,455,18,40
886,453,19,42
904,453,19,43
923,453,19,42
938,454,19,42
951,453,19,42
964,452,18,41
973,448,19,42
976,447,19,42
990,444,19,43
1002,447,19,42
1014,446,18,41
1030,445,19,42
1048,443,18,41
1066,441,19,42
1082,439,18,41
1099,438,18,39
1113,436,17,38
1122,433,17,38
1130,431,17,37
1138,444,17,38
1147,443,18,39
1141,423,17,38
1149,426,17,37
1159,426,17,38
1177,440,18,40
1185,441,18,39
1194,443,17,38
1202,444,17,38
1211,444,17,38
1228,452,17,38
1247,460,18,39
1271,471,18,40
1290,482,19,42
1314,493,19,43
1334,505,20,44
1352,510,21,46
1362,510,20,45
1366,510,20,44
1391,503,19,43
1381,495,19,42
1370,485,19,42
1355,477,19,42
1351,481,20,44
1342,475,19,42
1328,469,19,42
1314,463,20,44
1298,454,20,45
1285,452,21,47
1272,451,21,46
1264,453,20,44
1251,453,20,44
1241,455,20,44
1230,464,19,42
1203,479,20,44
1206,485,19,42
1183,505,20,44
1169,513,21,46
1161,526,22,48
1157,538,22,50
1158,553,22,48
1162,567,21,46
1172,581,20,44
1183,588,21,46
1197,592,21,47
1208,595,20,45
1218,596,20,44
1226,595,20,45
1232,593,20,45
1235,590,20,45
1235,584,21,46
1236,580,22,48
1235,575,22,50
1234,574,22,49
1235,572,22,49
1237,572,22,50
1239,572,22,49
1239,573,22,49
1238,574,22,49
1235,577,21,47
1231,578,20,45
1221,577,20,44
1210,572,20,45
1192,566,21,47
1177,560,21,47
1162,550,22,49
1149,541,22,48
1138,532,21,47
1124,524,21,46
1114,517,20,44
1102,510,21,46
1094,503,21,47
1087,496,22,48
1082,491,21,46
1083,487,20,44
1088,483,19,42
1093,479,19,42
1099,477,19,42
1102,473,19,43
1104,471,20,44
1101,471,19,42
1097,470,19,42
1096,472,19,42
1095,473,18,40
1093,474,19,42
1083,474,18,41
1068,470,19,42
1047,468,20,44
1026,466,19,43
1000,465,19,42
972,464,18,41
943,462,19,42
915,460,19,42
887,457,19,42
861,454,19,42
834,450,20,44
809,449,19,42
781,446,19,42
751,442,20,44
719,439,20,44
683,436,19,42
651,430,20,44
619,426,20,44
590,420,20,45
559,418,20,44
531,417,19,42
499,419,20,44
471,424,19,42
439,429,20,44
408,436,19,42
381,445,19,42
359,453,18,41
345,457,19,42
335,462,18,41
329,467,19,42
