525,514,18,50
525,513,18,50
526,513,18,51
529,513,18,51
531,512,18,51
530,513,18,50
530,514,17,48
527,514,17,48
521,513,18,50
516,513,18,51
521,508,18,50
508,509,18,50
501,509,19,52
497,509,19,52
496,510,18,51
496,510,18,51
496,509,19,53
497,509,18,51
497,508,18,51
498,510,18,50
505,512,17,48
513,511,17,48
522,510,18,50
532,512,17,48
542,514,17,47
545,522,17,47
551,527,17,47
551,532,18,49
560,538,17,47
564,536,17,46
580,540,17,46
603,535,17,47
640,527,18,49
673,517,18,50
711,506,19,52
745,498,19,53
777,488,20,55
809,483,21,57
850,484,21,57
862,448,21,57
853,445,20,56
843,440,21,57
841,436,21,59
841,433,21,57
845,431,21,57
1056,540,21,59
1065,544,20,56
1077,545,19,54
1105,534,19,52
1111,534,18,50
1118,531,19,52
1119,533,19,52
1125,531,19,53
1134,530,20,55
1135,527,21,57
1127,530,20,55
1104,531,21,57
1079,532,21,59
1054,532,22,61
1028,531,23,63
1010,530,22,62
989,522,23,65
968,513,23,65
953,500,24,67
936,496,24,66
925,488,25,69
914,479,26,71
830,455,26,73
832,455,26,71
834,455,25,70
834,457,24,67
836,458,23,65
836,459,22,62
835,462,22,61
852,466,22,61
845,471,21,59
839,477,21,59
837,476,22,61
837,472,23,63
847,472,24,66
863,478,23,63
889,484,22,61
921,490,21,59
959,496,22,61
994,503,22,62
1032,512,22,61
1076,523,23,63
1120,534,24,66
1120,508,23,63
1102,512,24,66
1089,515,23,63
1084,517,22,61
1086,519,21,59
1096,520,21,57
1499,562,21,59
1546,560,22,61
1568,554,23,63
1581,547,23,63
1593,542,23,63
1594,527,24,66
1587,514,25,69
1572,501,25,70
1555,489,26,73
1531,481,25,70
1505,473,26,71
1479,494,25,70
1472,494,24,67
1458,490,25,70
1441,488,24,67
1423,486,24,67
1406,482,24,67
1385,482,25,69
1371,483,24,67
1355,489,23,65
1338,490,24,66
1322,490,23,65
1310,487,22,62
1303,476,23,65
1302,462,23,63
1306,452,22,61
1311,444,22,60
1320,435,22,60
1329,426,22,61
1340,420,22,61
1348,417,21,59
1358,412,22,60
1365,408,21,59
1313,461,22,60
1317,459,21,59
1325,456,21,59
1334,448,22,60
1341,437,22,62
1353,426,23,65
1361,419,22,62
1371,411,22,62
1403,399,22,61
1402,400,22,60
1402,400,22,60
1401,398,22,62
1400,398,23,65
1400,399,23,63
1400,400,23,63
1399,398,24,66
1399,397,24,67
1399,398,23,65
1398,398,23,63
1400,398,24,66
1400,398,24,66
1400,397,25,69
1402,396,25,69
1403,401,24,67
1404,400,24,66
1400,396,24,67
1396,395,24,67
1400,392,24,67
1401,391,24,66
1400,390,25,69
1401,391,24,66
1401,393,23,65
1401,391,24,67
1396,389,24,66
1398,390,23,65
1400,394,22,62
1404,397,23,63
1407,400,22,61
1411,403,22,60
1412,405,22,60
1411,404,22,62
1409,403,23,65
1406,402,24,67
1404,405,24,67
1337,387,25,69
1333,387,24,67
1327,387,25,69
1320,389,25,69
1314,389,24,67
1305,389,25,70
1298,391,25,69
1295,394,24,66
1290,394,24,66
1284,393,25,69
1277,395,25,69
1272,395,25,69
1268,396,24,67
1263,397,25,69
1258,400,24,66
1254,401,24,66
1250,402,23,63
1247,406,22,62
1243,406,23,65
1240,406,24,66
