X_center,Y_center,width,height
444,553,28,48
443,554,28,48
440,555,27,47
438,556,27,47
437,557,27,46
440,558,27,46
441,561,26,44
438,563,25,43
434,565,26,45
430,566,27,47
436,562,28,48
425,564,29,49
419,568,27,47
417,569,29,49
419,572,27,47
424,573,27,46
429,575,27,47
435,576,29,49
442,577,28,48
452,578,28,48
460,578,28,48
468,579,27,47
478,577,29,49
487,576,28,48
492,574,28,48
496,572,29,50
501,574,29,50
505,578,28,48
517,582,27,46
535,587,27,46
554,587,28,48
573,588,29,50
588,589,29,49
593,587,30,51
603,587,30,51
614,588,29,49
632,588,30,51
658,593,29,49
686,598,29,49
716,601,29,49
744,604,29,50
772,604,30,52
802,607,32,54
831,606,32,55
858,608,33,57
886,607,33,57
911,605,35,60
935,602,33,57
958,599,32,55
966,599,31,53
957,599,30,51
970,579,29,50
947,583,30,52
924,584,31,53
908,585,30,51
906,585,30,52
910,583,32,54
922,588,30,52
938,590,29,50
960,586,30,52
978,588,31,53
996,587,30,52
1023,585,32,54
1046,578,31,53
1070,577,32,54
1080,573,31,53
1094,566,32,55
1105,555,33,57
1120,544,34,59
1134,539,33,57
1134,537,32,55
1125,536,31,53
1107,537,30,51
1082,539,31,53
1055,543,32,54
1023,547,33,56
994,555,32,54
971,562,30,52
964,564,29,50
965,565,28,48
963,565,29,49
963,564,30,51
961,563,31,53
961,564,32,54
961,566,33,56
962,573,32,54
965,577,30,52
962,565,32,54
960,557,31,53
961,553,30,51
965,554,29,49
970,555,30,51
981,562,29,50
991,564,30,51
1013,570,29,49
1034,572,28,48
1056,575,27,47
1077,576,28,48
1098,576,29,50
1121,577,30,52
1144,576,32,54
1169,577,33,56
1188,575,34,59
1216,576,36,61
1241,573,37,63
1266,572,37,63
1282,557,36,62
1306,557,36,62
1330,553,35,60
1347,550,33,57
1379,556,34,59
1395,552,33,56
1407,544,32,55
1416,537,31,53
1422,529,30,51
1422,519,31,53
1420,508,31,53
1414,496,30,51
1402,479,31,53
1386,459,32,55
1374,442,32,54
1360,421,32,54
1348,406,31,53
1366,414,32,54
1363,406,31,53
1358,399,30,51
1362,412,29,49
1368,408,30,51
1375,405,30,51
1383,404,29,49
1391,405,27,47
1396,404,27,47
1397,404,27,46
1398,405,27,47
1398,405,27,46
1399,405,27,46
1399,405,27,47
1399,407,26,45
1398,407,27,47
1397,406,29,49
1398,407,27,47
1398,409,26,45
1396,408,27,47
1395,406,28,48
1395,405,29,49
1394,404,30,51
1396,406,29,49
1396,405,30,51
1397,407,29,49
1398,408,28,48
1401,408,29,50
1402,408,30,52
1398,406,30,51
1394,404,29,49
1396,399,29,50
1397,400,29,49
1396,398,30,51
1398,400,29,49
1397,399,30,51
1395,399,30,51
1392,395,31,53
1393,392,32,55
1396,397,31,53
1400,402,30,51
1403,404,30,52
1406,404,31,53
1407,408,30,51
1408,411,29,49
1406,412,29,49
1403,410,29,50
1401,410,30,52
1401,406,32,54
1401,406,33,56
1399,415,32,54
1396,416,33,56
1392,422,32,55
1383,422,33,56
1375,426,33,56
1370,431,32,55
1362,431,33,56
1354,433,32,55
1346,433,33,56
1338,436,32,55
1333,441,31,53
1327,445,30,52
1321,448,30,52
1316,450,30,52
1309,453,31,53
1302,452,32,55
1295,453,33,56
1286,456,33,56
