X_center,Y_center,width,height
540,483,22,36
539,483,22,36
539,483,22,36
537,482,22,36
534,483,22,35
532,483,22,35
534,483,21,34
534,483,21,34
531,482,22,35
529,482,22,36
538,477,22,36
526,477,23,37
520,478,22,36
517,479,22,36
516,478,22,36
516,479,21,35
516,478,22,36
516,478,22,36
521,478,22,36
532,480,22,35
547,479,22,36
565,475,22,37
585,476,23,37
605,473,23,38
627,475,22,37
648,475,22,37
669,475,22,37
688,475,22,36
706,474,22,37
722,478,22,37
740,483,22,35
756,490,21,34
765,498,21,35
769,510,22,36
767,523,22,36
761,536,23,37
755,542,23,38
755,545,24,39
757,545,24,39
761,545,25,41
764,546,24,40
764,549,23,38
768,553,23,37
767,550,23,38
763,549,23,38
760,545,24,39
758,543,23,38
760,542,23,38
763,543,23,37
767,548,22,36
773,553,22,36
773,554,22,36
768,551,23,37
761,549,24,39
757,549,23,37
754,548,24,39
753,550,23,37
758,550,24,39
761,555,24,39
762,555,24,39
757,547,24,39
758,544,23,37
758,545,22,36
761,545,23,37
771,550,22,36
790,551,23,37
816,549,24,39
850,545,24,40
886,538,23,38
922,529,24,40
952,517,24,40
973,504,23,38
984,486,24,40
989,471,24,39
986,454,24,39
986,465,23,38
991,451,24,40
1002,441,24,40
1039,420,25,41
1058,420,24,40
1075,418,23,38
1089,421,22,37
1102,424,22,37
1110,426,22,35
1114,436,21,35
1107,447,21,34
1091,459,20,33
1067,468,21,35
1042,479,22,36
1015,487,23,37
998,495,23,37
987,503,22,37
985,500,22,36
991,500,22,37
996,501,23,37
996,501,22,36
994,500,23,37
991,499,24,39
987,498,24,39
986,498,23,38
986,499,23,37
988,498,22,36
986,496,23,37
984,497,22,36
985,497,22,35
989,499,21,34
992,502,20,33
1001,507,20,33
998,504,20,33
991,502,21,34
990,500,21,35
995,502,21,35
999,503,21,35
1002,505,20,33
1006,505,21,35
1013,509,20,33
1020,511,21,34
1031,513,21,34
1041,514,21,35
1049,512,22,36
1054,508,22,37
1064,505,23,37
1070,502,24,39
1076,499,23,38
1084,498,22,37
1091,498,22,36
1101,498,22,35
1107,498,22,36
1114,499,22,36
1122,500,22,36
1127,501,22,37
1134,504,22,37
1140,505,23,38
1149,508,23,37
1159,512,22,36
1170,514,22,36
1182,514,23,37
1195,515,22,36
1210,515,22,36
1225,509,23,37
1247,505,24,39
1266,502,24,39
1285,499,24,39
1300,496,23,38
1314,494,22,37
1323,492,22,35
1324,482,22,35
1322,479,21,34
1328,470,21,35
1348,465,21,35
1368,460,22,36
1389,458,22,36
1407,455,22,37
1415,452,23,38
1416,452,22,37
1417,454,22,35
1407,453,21,35
1393,456,21,34
1377,454,22,35
1362,455,22,35
1344,454,21,35
1329,455,22,36
1310,447,23,37
1292,446,23,38
1274,442,23,37
1255,441,22,36
1236,441,21,35
1222,438,21,34
1207,434,20,33
1192,431,21,34
1177,429,21,34
1164,429,20,33
1153,429,19,31
1143,427,20,33
1132,427,21,34
1120,427,21,34
1104,427,21,35
1092,427,22,35
1078,427,22,37
1052,427,23,37
1024,425,24,39
995,427,23,37
966,427,23,37
940,434,22,36
914,437,22,36
895,437,22,37
880,443,22,35
864,449,21,34
852,455,20,33
853,463,20,32
860,468,20,33
