X_center,Y_center,width,height
561,440,24,40
561,440,24,40
561,440,24,40
563,440,23,38
565,439,24,39
565,439,24,39
565,440,23,38
561,438,24,39
558,439,23,38
553,440,23,38
560,435,22,37
549,437,21,36
542,437,21,36
538,436,22,37
537,436,22,37
537,437,22,37
537,438,21,36
536,438,22,36
537,438,22,36
541,440,21,35
547,440,21,36
556,441,21,36
562,441,21,36
570,441,22,37
578,441,23,38
586,441,23,38
597,442,22,37
607,444,21,36
622,446,20,34
636,447,21,35
656,452,20,33
674,456,20,34
693,459,21,35
712,464,20,33
724,467,20,33
728,469,20,33
731,472,20,34
735,477,20,34
746,481,20,33
762,482,21,35
779,484,21,36
797,481,22,37
816,479,23,38
836,476,24,39
852,473,24,41
871,474,24,40
887,472,24,41
903,472,24,39
915,483,24,41
919,482,24,41
927,482,24,41
938,486,24,39
945,486,24,39
957,489,23,38
965,490,24,39
970,492,24,39
982,497,24,39
987,498,24,41
994,500,24,40
998,500,24,40
1009,502,23,38
1016,500,24,39
1027,499,24,39
1034,499,23,38
1042,496,24,40
1052,495,24,40
1059,496,23,38
1063,493,24,40
1070,494,24,39
1076,494,23,38
1080,491,24,40
1086,490,24,39
1089,488,24,40
1092,485,25,42
1094,486,25,42
1093,484,26,43
1095,485,26,43
1098,488,26,44
1101,487,28,46
1110,489,28,46
1117,489,29,48
1124,493,28,47
1129,494,29,49
1139,498,30,51
1151,504,31,52
1163,509,32,54
1180,521,31,52
1188,525,30,50
1193,530,30,50
1189,530,31,52
1183,536,30,50
1171,536,30,50
1163,537,29,48
1156,534,28,47
1152,528,29,49
1157,527,28,47
1161,523,27,45
1169,518,27,45
1178,516,26,43
1187,509,26,44
1192,503,26,43
1194,497,25,42
1189,491,24,40
1180,485,24,40
1169,479,25,42
1159,474,25,42
1151,471,24,41
1142,468,25,42
1134,461,26,43
1127,459,25,42
1122,457,24,40
1119,453,25,42
1120,450,26,43
1123,451,25,42
1125,452,25,42
1129,453,25,42
1133,454,24,41
1136,456,24,39
1139,458,23,38
1140,456,24,39
1138,456,23,38
1136,456,22,36
1131,451,23,38
1126,447,24,39
1121,446,24,41
1121,447,24,41
1124,449,24,40
1128,453,23,38
1131,457,22,37
1134,461,23,38
1137,462,24,39
1143,468,23,38
1149,471,23,38
1155,475,23,38
1163,479,23,38
1170,482,23,38
1178,484,24,40
1192,472,24,41
1198,478,24,39
1206,475,24,39
1217,472,24,39
1228,465,24,40
1239,457,24,39
1245,447,23,38
1251,436,22,36
1255,423,23,38
1257,413,23,38
1253,405,22,36
1242,396,23,38
1228,391,23,38
1209,387,24,39
1191,387,24,40
1172,389,23,38
1154,391,24,39
1139,392,24,40
1125,396,23,38
1116,396,24,39
1114,397,23,38
1112,396,23,38
1112,394,24,40
1107,394,23,38
1093,394,24,40
1075,395,24,40
1056,397,24,40
1034,397,24,40
1009,396,25,42
985,396,25,42
961,395,24,40
935,393,25,42
910,391,25,42
886,388,25,42
866,387,24,41
852,386,24,40
842,386,23,38
829,386,23,38
811,385,23,38
790,383,24,39
770,382,24,39
755,383,23,38
737,382,22,37
720,381,22,37
704,381,23,38
687,380,23,38
672,381,23,38
656,381,24,39
643,384,23,38
630,386,22,36
621,389,22,36
616,388,23,38
613,390,22,36
613,389,23,38
